,Year,Region,Country,Buddhists,Christians,Folk Religions,Hindus,Jews,Muslims,Other Religions,Unaffiliated
243,2020,Latin America-Caribbean, All Countries,1.0,89.7,1.8,1.0,1.0,1.0,1.0,8.0
244,2020,Europe, All Countries,1.0,72.2,1.0,1.0,1.0,6.8,1.0,20.0
245,2020,Middle East-North Africa, All Countries,1.0,3.6,1.0,1.0,1.6,93.1,1.0,1.0
246,2020,Sub-Saharan Africa, All Countries,1.0,62.0,3.2,1.0,1.0,31.4,1.0,3.0
247,2020,Asia-Pacific, All Countries,11.3,7.2,8.6,26.0,1.0,25.7,1.2,20.0
248,2020,Asia-Pacific,Afghanistan,1.0,,1.0,1.0,1.0,,1.0,1.0
249,2020,Europe,Albania,1.0,16.7,1.0,1.0,1.0,82.1,1.0,1.0
250,2020,Middle East-North Africa,Algeria,1.0,1.0,1.0,1.0,1.0,97.9,1.0,1.8
251,2020,Asia-Pacific,American Samoa,1.0,98.3,1.0,1.0,1.0,1.0,1.0,1.0
252,2020,Europe,Andorra,1.0,89.5,1.0,1.0,1.0,1.0,1.0,8.8
253,2020,Sub-Saharan Africa,Angola,1.0,90.5,4.2,1.0,1.0,1.0,1.0,5.2
254,2020,Latin America-Caribbean,Anguilla,1.0,90.6,2.9,1.0,1.0,1.0,1.6,4.0
255,2020,Latin America-Caribbean,Antigua and Barbuda,1.0,93.0,3.6,1.0,1.0,1.0,1.0,1.7
256,2020,Latin America-Caribbean,Argentina,1.0,85.4,1.0,1.0,1.0,1.0,1.0,12.1
257,2020,Asia-Pacific,Armenia,1.0,98.3,1.0,1.0,1.0,1.0,1.0,1.3
258,2020,Latin America-Caribbean,Aruba,1.0,91.6,1.3,1.0,1.0,1.0,1.0,6.2
259,2020,Asia-Pacific,Australia,2.9,61.7,1.0,1.7,1.0,3.0,1.0,28.6
260,2020,Europe,Austria,1.0,78.4,1.0,1.0,1.0,6.2,1.0,14.5
261,2020,Asia-Pacific,Azerbaijan,1.0,2.6,1.0,1.0,1.0,97.3,1.0,1.0
262,2020,Latin America-Caribbean,Bahamas,1.0,96.2,1.0,1.0,1.0,1.0,1.0,3.0
263,2020,Middle East-North Africa,Bahrain,3.1,14.1,1.0,10.2,1.0,,1.0,2.0
264,2020,Asia-Pacific,Bangladesh,1.0,1.0,1.0,8.2,1.0,90.8,1.0,1.0
265,2020,Latin America-Caribbean,Barbados,1.0,95.2,1.0,1.0,1.0,1.0,1.4,
266,2020,Europe,Belarus,1.0,70.7,1.0,1.0,1.0,1.0,1.0,28.6
